LJ021-0001|The Fireside Chats of Franklin Delano Roosevelt, by Franklin D Roosevelt, Section 6.|The Fireside Chats of Franklin Delano Roosevelt, by Franklin D Roosevelt, Section six.
LJ021-0002|September 30, 1934.|September thirty, nineteen thirty-four.
LJ021-0003|Three months have passed since I talked with you shortly after the adjournment of the Congress.|Three months have passed since I talked with you shortly after the adjournment of the Congress.
LJ021-0004|Tonight I continue that report, though, because of the shortness of time, I must defer a number of subjects to a later date.|Tonight I continue that report, though, because of the shortness of time, I must defer a number of subjects to a later date.
LJ021-0005|Recently the most notable public questions that have concerned us all|Recently the most notable public questions that have concerned us all
LJ021-0006|have had to do with industry and labor and with respect to these, certain developments have taken place which I consider of importance.|have had to do with industry and labor and with respect to these, certain developments have taken place which I consider of importance.
LJ021-0007|I am happy to report that after years of uncertainty, culminating in the collapse of the spring of 1933,|I am happy to report that after years of uncertainty, culminating in the collapse of the spring of nineteen thirty-three,
LJ021-0008|we are bringing order out of the old chaos|we are bringing order out of the old chaos
LJ021-0009|with a greater certainty of the employment of labor at a reasonable wage and of more business at a fair profit.|with a greater certainty of the employment of labor at a reasonable wage and of more business at a fair profit.
LJ021-0010|These governmental and industrial developments hold promise of new achievements for the nation.|These governmental and industrial developments hold promise of new achievements for the nation.
LJ021-0011|Men may differ as to the particular form of governmental activity|Men may differ as to the particular form of governmental activity
LJ021-0012|with respect to industry and business, but nearly all are agreed that private enterprise in times such as these|with respect to industry and business, but nearly all are agreed that private enterprise in times such as these
LJ021-0014|but also our processes of civilization.|but also our processes of civilization.
LJ021-0015|The underlying necessity for such activity|The underlying necessity for such activity
LJ021-0016|is indeed as strong now as it was years ago when Elihu Root said the following very significant words:|is indeed as strong now as it was years ago when Elihu Root said the following very significant words:
LJ021-0017|Instead of the give and take of free individual contract,|Instead of the give and take of free individual contract,
LJ021-0018|the tremendous power of organization has combined great aggregations of capital in enormous industrial establishments|the tremendous power of organization has combined great aggregations of capital in enormous industrial establishments
LJ021-0019|working through vast agencies of commerce and employing great masses of men in movements of production|working through vast agencies of commerce and employing great masses of men in movements of production
