LJ031-0001|Report of the President's Commission on the Assassination of President Kennedy.|Report of the President's Commission on the Assassination of President Kennedy.
LJ031-0002|The Warren Commission Report. By The President's Commission on the Assassination of President Kennedy. Chapter 2. The Assassination: Part 3.|The Warren Commission Report. By The President's Commission on the Assassination of President Kennedy. Chapter two. The Assassination: Part three.
LJ031-0003|Parkland Memorial Hospital. The Race to the Hospital|Parkland Memorial Hospital. The Race to the Hospital
LJ031-0004|In the final instant of the assassination, the Presidential motorcade began a race to Parkland Memorial Hospital,|In the final instant of the assassination, the Presidential motorcade began a race to Parkland Memorial Hospital,
LJ031-0005|approximately 4 miles from the Texas School Book Depository Building.|approximately four miles from the Texas School Book Depository Building.
LJ031-0006|On receipt of the radio message from Kellerman to the lead car that the President had been hit,|On receipt of the radio message from Kellerman to the lead car that the President had been hit,
LJ031-0008|Meanwhile, Chief Curry ordered the police base station to notify Parkland Hospital that the wounded President was en route.|Meanwhile, Chief Curry ordered the police base station to notify Parkland Hospital that the wounded President was en route.
LJ031-0009|The radio log of the Dallas Police Department shows that at 12:30 p.m. on November 22|The radio log of the Dallas Police Department shows that at twelve:thirty p.m. on November twenty-two
LJ031-0010|Chief Curry radioed, quote, Go to the hospital -- Parkland Hospital. Have them stand by, end quote,|Chief Curry radioed, quote, Go to the hospital -- Parkland Hospital. Have them stand by, end quote,
LJ031-0011|A moment later Curry added, quote, Looks like the President has been hit. Have Parkland stand by, end quote,|A moment later Curry added, quote, Looks like the President has been hit. Have Parkland stand by, end quote,
LJ031-0012|The base station replied, quote, They have been notified, end quote,|The base station replied, quote, They have been notified, end quote,
LJ031-0013|Traveling at speeds estimated at times to be up to 70 or 80 miles per hour down the Stemmons Freeway and Harry Hines Boulevard|Traveling at speeds estimated at times to be up to seventy or eighty miles per hour down the Stemmons Freeway and Harry Hines Boulevard
LJ031-0014|the Presidential limousine arrived at the emergency entrance of the Parkland Hospital at about 12:35 p.m.|the Presidential limousine arrived at the emergency entrance of the Parkland Hospital at about twelve:thirty-five p.m.
LJ031-0015|Arriving almost simultaneously were the President's follow-up car, the Vice President's automobile, and the Vice President's follow-up car.|Arriving almost simultaneously were the President's follow-up car, the Vice President's automobile, and the Vice President's follow-up car.
LJ031-0016|Admiral Burkley, the President's physician, arrived at the hospital, quote, between 3 and 5 minutes following the arrival of the President, end quote.|Admiral Burkley, the President's physician, arrived at the hospital, quote, between three and five minutes following the arrival of the President, end quote.
LJ031-0017|since the riders in his car, quote, were not exactly aware what had happened, end quote, and the car went on to the Trade Mart first.|since the riders in his car, quote, were not exactly aware what had happened, end quote, and the car went on to the Trade Mart first.
LJ031-0018|When Parkland Hospital received the notification, the staff in the emergency area was alerted and trauma rooms 1 and 2 were prepared.|When Parkland Hospital received the notification, the staff in the emergency area was alerted and trauma rooms one and two were prepared.
LJ031-0019|These rooms were for the emergency treatment of acutely ill or injured patients. Although the first message mentioned an injury only to President Kennedy,|These rooms were for the emergency treatment of acutely ill or injured patients. Although the first message mentioned an injury only to President Kennedy,
LJ031-0020|two rooms were prepared.|two rooms were prepared.
LJ031-0021|As the President's limousine sped toward the hospital, 12 doctors to the emergency area: surgeons, Drs. Malcolm O. Perry,|As the President's limousine sped toward the hospital, twelve doctors to the emergency area: surgeons, Drs. Malcolm O. Perry,
LJ031-0022|Charles R. Baxter, Robert N. McClelland, Ronald C. Jones; the chief neurologist, Dr. William Kemp Clark;|Charles R. Baxter, Robert N. McClelland, Ronald C. Jones; the chief neurologist, Dr. William Kemp Clark;
LJ031-0023|4 anesthesiologists, Drs. Marion T. Jenkins, Adolph H. Giesecke, Jr., Jackie H. Hunt,|four anesthesiologists, Drs. Marion T. Jenkins, Adolph H. Giesecke, Jr., Jackie H. Hunt,
LJ031-0024|Gene C. Akin;|Gene C. Akin;
LJ031-0025|urological surgeon, Dr Paul C. Peters; an oral surgeon, Dr. Don T. Curtis; and a heart specialist,|urological surgeon, Dr Paul C. Peters; an oral surgeon, Dr. Don T. Curtis; and a heart specialist,
LJ031-0026|Dr. Fouad A. Bashour.|Dr. Fouad A. Bashour.
LJ031-0027|Upon arriving at Parkland Hospital,|Upon arriving at Parkland Hospital,
LJ031-0028|Lawson jumped from the lead car and rushed into the emergency entrance, where he was met by hospital staff members wheeling stretchers out to the automobile.|Lawson jumped from the lead car and rushed into the emergency entrance, where he was met by hospital staff members wheeling stretchers out to the automobile.
LJ031-0029|Special Agent Hill removed his suit jacket and covered the President's head and upper chest to prevent the taking of photographs.|Special Agent Hill removed his suit jacket and covered the President's head and upper chest to prevent the taking of photographs.
